用例ID,用例标题,等级,用例类型,模块,用例目录,所属模块,执行档位,档位说明,技能分类,匹配说明,人工验收项,前置条件,步骤描述,预期结果
12903594,Android图形界面修改系统时间，同步Linux从板,P0,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端；人工多次采样,convert_high,点击、等待,Linux/双板终端；人工多次采样,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能","1、1. 保持双板正常连接，同步服务处于运行状态；
2. 操作Android主板：设置 → 日期和时间 → 关闭“自动确定日期和时间”；
3. 手动修改Android时间为指定值（如2026-04-10 14:30:00），点击确认；
4. 等待5秒；
5. 登录Linux从板，终端执行命令“date”查看系统时间；
6. 记录双板时间偏差，重复测试3次。","1、1. Android主板时间成功修改为设定值；
2. Linux从板在5秒内同步为Android修改后的时间；
3. 双板时间偏差≤1秒；
4. 3次测试均满足上述要求，无异常。"
12903595,Android ADB命令修改系统时间，同步Linux从板,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,ADB/命令行；Linux/双板终端；人工多次采样,convert_high,等待,ADB/命令行；Linux/双板终端；人工多次采样,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能
5.ADB工具连接正常","1、1. 保持双板正常连接，同步服务处于运行状态；
2. 电脑通过ADB连接Android主板，执行命令：adb shell date -s ""2026-04-10 16:45:30""（格式：YYYY-MM-DD HH:MM:SS）；
3. 等待5秒；
4. 登录Linux从板，终端执行命令“date”查看系统时间；
5. 记录双板时间偏差，重复测试3次。","1、1. ADB命令执行成功，Android主板时间修改为设定值；
2. Linux从板在5秒内同步为Android修改后的时间；
3. 3次测试均满足上述要求，无异常。"
12903596,Android修改时区，同步Linux从板（非跨日期）,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端；人工多次采样,convert_high,点击、选择、等待,Linux/双板终端；人工多次采样,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能","1、1. 保持双板正常连接，同步服务处于运行状态；
2. 操作Android主板：设置 → 日期和时间 → 关闭“自动确定时区”；
3. 手动选择时区为“东京（UTC+9）”，点击确认；
4. 等待5秒；
5. 登录Linux从板，终端执行命令“timedatectl”查看时区和本地时间，执行“cat /etc/timezone”查看时区配置；
6. 对比双板时区和时间，重复测试2次（更换其他非跨日期时区，如伦敦UTC+0）。","1、1. Android主板时区成功修改为选定时区，本地时间自动适配时区；
2. Linux从板同步Android选定的时区；
3. Linux本地时间按新时区自动换算，与Android对应时区时间；
4. Linux /etc/timezone配置与Android时区一致；
5. 2次测试均满足上述要求。"
12903597,Android修改时区，同步Linux从板（跨国际日期变更线）,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端,convert_high,选择、等待,Linux/双板终端,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能
5.Android初始时区为UTC+8（北京时间），当前时间为2026-04-10 10:00:00；3. Android已关闭自动时区同步。","1、1. 保持双板正常连接，同步服务处于运行状态；
2. 操作Android主板：设置 → 日期和时间 → 选择时区为“纽约（UTC-5）”；
3. 等待5秒；
4. 查看Android主板本地时间（应变为2026-04-09 21:00:00）；
5. 登录Linux从板，执行“timedatectl”和“date”命令，查看时区、本地时间和UTC时间；
6. 对比双板时区、日期、时间是否一致。","1、1. Android主板时区改为UTC-5，本地时间自动换算为对应日期和时间（跨日期）；
2. Linux从板在5秒内同步为UTC-5时区；
3. Linux本地时间、日期与Android完全一致，偏差≤1秒；
4. 双板UTC时间一致，无日期/时间错乱。"
12903598,Android主板重启后，主动同步时间/时区到Linux从板,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端；长时重启/等待,convert_high,等待,Linux/双板终端；长时重启/等待,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能","1、1. 操作Android主板，重启设备；
2. 等待Android主板完全开机，同步服务自动启动（约1-3分钟）；
3. 开机后，修改Android时间为17:00:00.时区为UTC+9；4. 等待5秒；
5. 登录Linux从板，执行“date”和“timedatectl”命令查看时间和时区；6. 对比双板一致性。","1、1. Android主板正常开机，同步服务自动启动；
2. Android修改时间/时区成功；
3. Linux从板在5秒内同步为Android修改后的值；4. 双板时间，时区一致；
5. 无同步失效现象。"
12903599,Linux从板重启后，同步Android主板最新时间/时区,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端；长时重启/等待,convert_high,等待,Linux/双板终端；长时重启/等待,"1. Android主板与Linux正常连通；
2. 双板时间同步服务正常运行；
3. 双板初始时间、时区完全一致（记录初始时间如2026-04-9 10:00:00）；
4. Android已关闭自动时间同步，Linux已开启被动同步功能","1、1. 保持Android主板正常运行，同步服务开启；
2. 登录Linux从板，执行命令“reboot”重启从板；
3. 等待Linux从板完全开机（约1-5分钟）；
4. 开机后，执行“date”和“timedatectl”命令查看时间和时区；
5. 对比与Android主板的一致性。","1、1. Linux从板正常开机，无硬件/软件异常；
2. 开机后自动启动同步服务，主动同步Android主板最新时间和时区；
3. 双板时间偏差≤1秒，时区完全一致；
4. 同步无失效、无延迟（开机后1分钟内完成同步）。"
12903600,双板时间同步（linux从板同步主板安卓时区/时间）,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,B,Linux/双板终端；长时重启/等待,convert_mid,检查,Linux/双板终端；长时重启/等待,,"1、1.修改Android系统时区后检查是否自动调整，例如：将时区改为美国时区America/New_York：
sudo timedatectl set-timezone America/New_York
timedatectl status
2.重启系统后检查时区是否和重启前一致
sudo reboot
timedatectl status","1、1.Linux系统随Android系统时区变化，时区显示为：America/New_York，时间自动调整
2.时区与重启前一致"
12903193,信号状态改变，状态栏WiFi图标显示正确,P2,,（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,B,ADB/命令行,convert_extra,关闭,ADB/命令行,可独立控制 WiFi 开关/adb指令关闭（adb shell cmd wifi set-wifi-enabled false）,"1.关闭 WiFi，仅保留 4G
2.WiFi信号弱","1.WiFi 图标消失，4G 图标正常
2.WiFi信号格子根据信号强度填充5格部分区域"
12904004,定位丢失（语义地图定位丢失），地图栏显示有提示,P0,,主界面展示/（左上）地图栏,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,整机软件V1.0/界面操作和任务设置/主界面展示/（左上）地图栏/不同定位状态切换地图栏显示,B,物理/射频环境,convert_mid,显示,物理/射频环境,当前定位已建图,"1、1.进入首页切换当前定位地图
2.地图栏显示当前定位地图时，手动模拟丢定位（遮挡传感器）
3.查看地图栏显示","1、1.首次进入，地图栏显示’定位丢失-切换地图‘，点击切换地图弹窗地图切换页面，任务列表为空提示定位丢失
2.非首次进入，定位丢失前地图栏显示当前定位地图名，
定位丢失后，地图栏显示‘定位丢失’（红字红框显示）及丢失前使用的地图名"
12903800,地图区域分选中态及未选中态,P0,,主界面展示/任务区,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,整机软件V1.0/界面操作和任务设置/主界面展示/任务区/作业任务列表界面/编辑任务界面/编辑任务-区域添加,B,以观察/显示类步骤为主，需环境注入或截图断言,convert_mid,显示,,已建图,"1.新建任务，进入编辑页面，查看地图显示
2.选中地图工作区域查看","1.未选中区域时，底图正常显示地图元素
2.选中底图工作区域时，所选中区域高亮显示（区域名称、面积、边框"
12903951,非当前定位地图可正常切换显示,P2,,主界面展示/地图展示区,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,B,以观察/显示类步骤为主，需环境注入或截图断言,convert_mid,显示,,1.所选地图不在机器当前实际位置，查看地图显示,1、切换非当前定位的地图查看页面显示,1、正常显示切换后的地图
12903952,非工作状态首页不显示详细的语义地图,P2,,主界面展示/地图展示区,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业前地图展示,B,以观察/显示类步骤为主，需环境注入或截图断言,convert_mid,显示,,"1.设备状态正常，非割草，集草，吸割一体任务执行中
2.当前区域已建图，定位正常",1、1.挪动底图，缩放查看地图显示,1、底图根据比例尺缩放显示卫星地图及粗略版本语义地图（只显示边框及区域名称--具体根据ui显示)
12903309,已建图时，（工作中）根据比例尺缩放大小切换显示语义及卫星地图,P1,,主界面展示/地图展示区,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业中地图路线与进度展示,整机软件V1.0/界面操作和任务设置/主界面展示/地图展示区/作业中地图路线与进度展示,B,以观察/显示类步骤为主，需环境注入或截图断言,convert_mid,显示,,机器人已建图,1、1.新建地图，挪动缩放底图查看地图显示,1、根据比例尺缩放大小切换显示语义及卫星地图（根据产品定义、研发调研实现）
