用例ID,用例标题,执行档位,自动化状态,套件文件,task名称
12903593,修改系统时间，状态栏正常同步,A,A档-待转化,,
12903594,Android图形界面修改系统时间，同步Linux从板,B,B档-未写YAML,,
12903595,Android ADB命令修改系统时间，同步Linux从板,B,B档-未写YAML,,
12903596,Android修改时区，同步Linux从板（非跨日期）,B,B档-未写YAML,,
12903597,Android修改时区，同步Linux从板（跨国际日期变更线）,B,B档-未写YAML,,
12903598,Android主板重启后，主动同步时间/时区到Linux从板,B,B档-未写YAML,,
12903599,Linux从板重启后，同步Android主板最新时间/时区,B,B档-未写YAML,,
12903600,双板时间同步（linux从板同步主板安卓时区/时间）,B,B档-未写YAML,,
12903193,信号状态改变，状态栏WiFi图标显示正确,B,B档-未写YAML,,
12903683,充电中不可切换退出充电动画页面,A,A档-待转化,,
12903579,状态图标-黄色，暂停,A,A档-待转化,,
12903581,机器状态切换，状态图标同步显示,A,A档-待转化,,
12903834,连续状态切换，机器人状态显示不混乱,A,A档-待转化,,
12903736,地图栏点击弹窗地图切换列表,A,已覆盖,主界面_有地图无任务_自动化测试.yaml,12903736-地图栏点击弹出地图切换列表
12903737,地图切换列表以地图组形式展示,A,A档-待转化,,
12903741,地图栏进入地图切换页面可切换地图，地图切换成功后地图栏显示切换后地图名称,A,A档-待转化,,
12903742,作业任务执行中地图栏不展示,A,A档-待转化,,
12903743,地图栏名称切换过程流畅、稳定,A,A档-待转化,,
12904003,定位成功已建图，地图栏展示当前定位地图名称,A,已覆盖(多套件),主界面_有地图无任务_自动化测试.yaml,12904003-地图栏展示当前定位地图名称
12904003,定位成功已建图，地图栏展示当前定位地图名称,A,已覆盖(多套件),主界面_有地图有任务_自动化测试.yaml,12904003-地图栏显示当前地图名称
12904004,定位丢失（语义地图定位丢失），地图栏显示有提示,B,B档-未写YAML,,
12904005,定位失败（rtk卫星定位丢失），地图栏显示有提示,A,A档-待转化,,
12904006,手动切换非当前定位地图，地图栏显示切换地图名称,A,A档-待转化,,
12904007,未建图有卫星地图时，地图栏不显示,A,A档-待转化,,
12904008,机器抵达地图切换点，自动切换地图后，地图名称同步更新,A,A档-待转化,,
12904009,切换地图后定位失败，地图栏显示切换正常（当前使用地图名-「定位丢失」）,A,A档-待转化,,
12903556,作业任务列表页面默认状态与展开收起功能验证（无任务）,A,已覆盖,主界面_有地图无任务_自动化测试.yaml,12903556-无任务时任务面板默认展开与收起
12903557,作业任务列表默认展示与收起展开功能验证（有任务）,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903557-有任务时作业任务面板展开与收起
12903558,无地图引导内容显示与创建地图按钮响应,A,A档-待转化,,
12903562,定位丢失，无任务，任务列表显示为空,A,A档-待转化,,
12903563,定位丢失，有任务，列表显示定位丢失前任务,A,A档-待转化,,
12903565,手动切换地图后，首页作业任务列表同步刷新,A,A档-待转化,,
12903566,机器抵达地图切换点自动切换地图后，任务列表同步刷新,A,A档-待转化,,
12903567,关联地图创建任务集，任务地图有变化，相关任务集自动删除,A,A档-待转化,,
12903569,任务列表排序规则验证,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903569-默认任务置顶排序
12903571,默认任务个数限制为1个,A,A档-待转化,,
12903825,大量任务增删改查，页面加载正常,A,A档-待转化,,
12903827,断网情况下增删改查任务列表--正常执行操作,A,A档-待转化,,
12903828,修改任务过程中退出 / 取消修改---保留原有配置,A,A档-待转化,,
12903829,修改作业顺序为重复 / 非法顺序验证---不执行,A,A档-待转化,,
12903831,任务列表启动任务时机器人异常--任务不执行,A,A档-待转化,,
12903870,首页作业任务列表新建任务入口跳转,A,已覆盖,主界面_有地图无任务_自动化测试.yaml,12903870-新建任务入口跳转
12903871,新建任务保存至首页作业任务列表,A,A档-待转化,,
12903872,快速任务保存至首页作业任务列表,A,已覆盖,快速任务_自动化测试.yaml,12903872-12903613-保存确认Toast并回首页任务列表
12903873,首页作业任务列表，任务名称及内容正确显示,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903873-任务列表名称与任务数显示
12903874,首页作业任务列表，任务可展开查看详情,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903874-点击任务卡片展开详情与地图高亮
12903875,首页作业任务列表，任务卡片可选中、收起、切换交互,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903875-任务卡片选中收起与切换
12903876,首页作业任务列表多任务可滑动,A,A档-待转化,,
12903877,首页作业任务列表，任务顺序显示不可拖动调整,A,A档-待转化,,
12903878,任务列表/任务详情页删除按钮不显示,A,A档-待转化,,
12903879,任务详情页显示编辑按钮,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903879-选中任务显示编辑任务入口
12903880,单个任务删除不影响作业任务列表其他任务,A,A档-待转化,,
12903881,删除最后一个任务后回到空列表,A,A档-待转化,,
12903882,单个任务修改不影响其他任务,A,A档-待转化,,
12903883,任务列表选中任务可直接开始任务,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903883-选中任务后点击开始作业
12903885,机器人未到位无法开始任务,A,A档-待转化,,
12903941,无任务/有任务，区域点击交互验证,A,已覆盖(多套件),主界面_有地图无任务_自动化测试.yaml,12903941-点击地图作业区触发快速任务
12903941,无任务/有任务，区域点击交互验证,A,已覆盖(多套件),快速任务_自动化测试.yaml,12903941-DESIGN-首页点击地图作业区进入快速任务
12903942,创建地图按钮交互与页面切换验证,A,A档-待转化,,
12903943,地图区域标注与控件功能验证,A,已覆盖(多套件),主界面_有地图无任务_自动化测试.yaml,12903943-地图区域标注与底部快捷栏
12903943,地图区域标注与控件功能验证,A,已覆盖(多套件),主界面_有地图有任务_自动化测试.yaml,12903943-地图区域标注展示
12903944,无地图状态地图与控件功能验证,A,A档-待转化,,
12903794,编辑任务，区域添加列表，点击作业区名称添加任务,A,A档-待转化,,
12903795,编辑任务，点击地图上作业区底图添加任务,A,A档-待转化,,
12903796,区域添加列表，同一区域最多可点击添加5次验证,A,A档-待转化,,
12903797,编辑任务，单个工作区域底图点击添加次数上限5次,A,A档-待转化,,
12903798,同一区域添加5次上限后，减少该区域任务，可再次进行添加,A,A档-待转化,,
12903799,任务列表任务为0时，页面有添加任务相关提示,A,已覆盖,新建任务_自动化测试.yaml,12903799-未添加时提示文案与可添加区域列表
12903800,地图区域分选中态及未选中态,B,B档-未写YAML,,
12903835,任务列表编辑任务，进入编辑任务页面,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903835-编辑任务进入编辑页
12903836,任务名称默认值验证---当前所编辑的任务名,A,已覆盖,编辑任务_自动化测试.yaml,12903836-编辑页任务名显示当前任务名
12903837,任务名称可编辑,A,已覆盖,编辑任务_自动化测试.yaml,12903837-编辑页修改任务名称
12903838,任务名称空值校验,A,A档-待转化,,
12903839,任务名称超长输入验证,A,A档-待转化,,
12903840,无任务时保存校验--保存按钮置灰,A,A档-待转化,,
12903841,有任务/有任务编辑可正常保存,A,已覆盖(多套件),新建任务_自动化测试.yaml,12903613-12903841-保存任务Toast并返回首页
12903841,有任务/有任务编辑可正常保存,A,已覆盖(多套件),编辑任务_自动化测试.yaml,12903841-DESIGN-编辑页保存任务Toast回首页
12903843,编辑任务底部删除按钮功能验证--二次确认弹窗,A,已覆盖,编辑任务_自动化测试.yaml,12903843-编辑页底部删除二次确认
12903844,编辑任务，任务列表‘x’按钮移除任务项,A,A档-待转化,,
12903845,编辑任务参数未保存，直接返回有二次确认弹窗,A,已覆盖,编辑任务_自动化测试.yaml,12903845-PARAM-参数有改动返回二次确认
12903846,任务编辑功能验证,A,A档-待转化,,
12903847,任务可拖拽排序,A,A档-待转化,,
12903848,默认组合状态持久化,A,已覆盖,新建任务_自动化测试.yaml,12903848-DESIGN-保存后默认任务置顶显示
12903849,默认组合按钮状态切换,A,已覆盖,编辑任务_自动化测试.yaml,12903849-DESIGN-编辑页已设为默认任务态
12903850,编辑任务可设置定时,A,已覆盖,编辑任务_自动化测试.yaml,12903850-编辑页定时作业开关
12903851,区域列表滚动验证--无错位,A,A档-待转化,,
12903852,编辑任务组合，地图栏可正常跳转,A,A档-待转化,,
12903853,编辑任务页面，可正常调整比例尺显示,A,A档-待转化,,
12903854,网络异常时保存验证--可保存,A,A档-待转化,,
12903548,「+ 新建」按钮功能验证--跳转至新建任务页,A,已覆盖(多套件),主界面_有地图有任务_自动化测试.yaml,12903548-作业任务标题栏新建入口
12903548,「+ 新建」按钮功能验证--跳转至新建任务页,A,已覆盖(多套件),新建任务_自动化测试.yaml,12903548-作业任务页点击新建进入新建任务
12903551,任务名输入框功能验证,A,A档-待转化,,
12903552,「设为默认任务」开关功能验证,A,已覆盖,新建任务_自动化测试.yaml,12903552-DESIGN-设为默认任务已设为默认态
12903553,「定时作业」开关功能验证,A,已覆盖,新建任务_自动化测试.yaml,12903553-DESIGN-定时作业开关开启态
12903607,首次进入存在动画引导,A,A档-待转化,,
12903608,非首次进入不会展示动画指引,A,A档-待转化,,
12903609,按照动画指引步骤可进行任务的开始和添加,A,A档-待转化,,
12903610,首次指引中断后恢复验证--重新指引添加,A,A档-待转化,,
12903349,可添加区域列表，点击可添加区域 + 号添加任务,A,已覆盖,新建任务_自动化测试.yaml,12903349-可添加区域列表点击加号添加
12903350,点击地图选中工作区添加任务,A,已覆盖(多套件),主界面_有地图无任务_自动化测试.yaml,12903350-新建任务页点击地图添加区域
12903350,点击地图选中工作区添加任务,A,已覆盖(多套件),新建任务_自动化测试.yaml,12903350-点击地图草坪区域添加任务
12903352,任务列表任务移除功能验证-- -号移除计数更新,A,已覆盖,新建任务_自动化测试.yaml,12903352-任务列表删除一项
12903353,同一区域列表+添加次数上限验证--5次,A,已覆盖,新建任务_自动化测试.yaml,12903353-同一区域最多添加5次
12903354,同一区域底图选中添加次数上限-5 次,A,A档-待转化,,
12903359,任务添加快速连续点击验证---五次上限，无奔溃,A,A档-待转化,,
12903723,任务项右侧删除功能验证,A,A档-待转化,,
12903724,任务列表可长按拖拽排序,A,已覆盖,新建任务_自动化测试.yaml,12903724-任务列表长按拖拽排序
12903725,任务项编辑功能验证,A,已覆盖,编辑任务_自动化测试.yaml,12903725-任务列表铅笔进入A区草坪参数页
12903456,未保存（已添加未保存场景）点击返回触发二次确认,A,已覆盖,新建任务_自动化测试.yaml,12903456-已添加未保存时返回二次确认弹窗
12903457,新建任务页返回功能验证（未添加任务场景）--直接返回,A,已覆盖,新建任务_自动化测试.yaml,12903457-未添加任务时直接返回
12903458,返回弹窗二次确认-返回-返回主界面,A,已覆盖,新建任务_自动化测试.yaml,12903458-返回二次确认点击返回回首页
12903459,点击返回弹窗二次确认-取消-弹窗关闭停留当前页面,A,已覆盖,新建任务_自动化测试.yaml,12903459-返回二次确认点击取消停留当前页
12903460,返回弹窗防重复点击验证--不叠加执行，无奔溃,A,A档-待转化,,
12903461,弱网环境下返回验证---返回成功,A,A档-待转化,,
12903612,未添加任务时保存及删除按钮不显示,A,已覆盖,新建任务_自动化测试.yaml,12903612-未添加任务时不显示保存任务按钮
12903613,任务保存成功有 Toast 提示,A,已覆盖(多套件),快速任务_自动化测试.yaml,12903872-12903613-保存确认Toast并回首页任务列表
12903613,任务保存成功有 Toast 提示,A,已覆盖(多套件),新建任务_自动化测试.yaml,12903613-12903841-保存任务Toast并返回首页
12903616,任务名存在默认值展示,A,已覆盖,新建任务_自动化测试.yaml,12903616-12903617-任务名默认值与输入框聚焦
12903617,任务名输入框点击高亮显示,A,已覆盖,新建任务_自动化测试.yaml,12903616-12903617-任务名默认值与输入框聚焦
12903618,任务名多类型字符输入验证,A,A档-待转化,,
12903619,任务名超长字符输入验证----上限,A,A档-待转化,,
12903620,任务名输入框编辑删除---逐一删除字符,A,A档-待转化,,
12903621,任务名空值保存拦截验证--ui提示,A,A档-待转化,,
12903622,弱网 / 断网环境下任务保存--正常保存,A,A档-待转化,,
12903862,删除任务二次确认弹窗确认,A,已覆盖,新建任务_自动化测试.yaml,12903862-底部删除任务二次确认弹窗
12903863,删除二次弹窗-删除--删除任务成功,A,已覆盖,新建任务_自动化测试.yaml,12903863-12903865-12903866-删除确认Toast并回首页
12903864,删除二次弹窗-取消--取消删除,A,已覆盖,新建任务_自动化测试.yaml,12903864-删除弹窗点击取消
12903865,删除任务后自动回首页,A,已覆盖,新建任务_自动化测试.yaml,12903863-12903865-12903866-删除确认Toast并回首页
12903866,删除任务 Toast 提示验证,A,已覆盖,新建任务_自动化测试.yaml,12903863-12903865-12903866-删除确认Toast并回首页
12903867,删除弹窗防重复点击验证--不叠加执行，无奔溃,A,A档-待转化,,
12903868,弱网环境下删除任务验证---删除成功,A,A档-待转化,,
12903946,未建图定位正常，正确显示机器人定位及位置图标,A,A档-待转化,,
12903947,已建图定位正常，底图可查看当前定位地图及关联地图,A,已覆盖,主界面_有地图有任务_自动化测试.yaml,12903947-定位成功时点击定位按钮归中
