用例ID,用例标题,等级,用例类型,模块,用例目录,所属模块,执行档位,档位说明,技能分类,匹配说明,人工验收项,前置条件,步骤描述,预期结果
12903591,联网状态状态栏时间显示正确--格式为「HH:MM」,P0,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,机器人已开机并连接网络,机器人正常联网，查看状态栏时间,显示与网络同步的当前时间，格式为「HH:MM」，无偏差
12903592,断网状态状态栏同步本地时间,P2,,（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/当前时间,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_observe,步骤仅查看/观察，无技能列表内操作动词,,机器人已开机，断开网络连接（系统关闭WiFi、4g网络）,机器人断网，查看状态栏时间,显示机器人本地时钟时间，与系统时间一致
12903191,信号正常状态栏各图标状态显示--各信号图标正常点亮,P0,,（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,各信号模块均正常工作并连接,所有信号（4G、WiFi）正常连接,"4G:显示4G文字 5个信号格子满格的状态，无警告 / 叉号
WiFi：WiFi图标点亮5个信号格子满格状态，无警告/叉号"
12903192,信号状态改变，状态栏4G图标显示正确,P2,,（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,可模拟信号弱、丢失（金属遮罩屏蔽网络4G信号/拔卡）,1.查看主界面4G状态栏显示,"1.无信号：图标5个信号格子置灰状态，4G文字消失
2.信号弱：更加信号强度置灰部分信号格子，4G文字正常显示"
12903194,信号状态改变，状态栏图标显示--空心 / 半填充,P2,,（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/信号状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,模拟弱信号环境（遮挡）,信号强度弱（如 WiFi 信号 1 格）,对应信号图标显示弱信号样式（如空心 / 半填充）
12903677,电量 > 20%，电量图标为正常颜色,P0,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,电量可调整或真实环境,电量 > 20%（如 50%）,电量图标为正常颜色（如绿色 / 蓝色），显示百分比（如 50%）
12903678,电量 ≤ 20%，电量图标和百分比文字变为红色,P0,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,电量可调整或真实环境,"1.控制机器运动耗电
2.电量 ≤ 20%（如 18%），查看状态栏电量显示",电量图标和百分比文字变为红色，并弹出低电提醒
12903679,电量 ≤ 5%，（触发停机保护）,P1,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,reject_other,步骤无点击/输入/选择/验证等关键词,,电量可调整或真实环境,"1.自动作业中电量 ≤ 5%
2.非工作中状态电量 ≤ 5%
3.手动接管中电量≤%","1.自动作业中（低电回充、返航），页面弹窗提示用户电量低，
弹窗可关闭，关闭后5分钟轮询一次，完全没电后自动关机
2.非工作中状态页面弹出提示，弹窗可关闭，关闭后不再提示，完全没电后自动关机
3.手动接管作业中，弹窗提醒低电量即将关机，弹窗中手动驾驶不打断继续执行任务，
弹窗可关闭，关闭后不再提示，直至完全没电后关机"
12903680,电量从 21% 降至 20%/19% 瞬间，图标和文字立即从正常色切换为红色，无延迟,P1,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_mid,显示,,电量可精准控制,"1.手动控制机器运动耗电
2.查看电量从 21% 降至20%、 19% 瞬间，状态栏电量显示",图标和文字立即从正常色切换为红色，无延迟
12903681,充电中，主页面满屏显示充电动画，百分比随时间递增,P0,,（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,整机软件V1.0/界面操作和任务设置/（顶部）状态栏/电量状态,D,整机/业务域用例且无明确机载 UI 操作，宜保留为功能测试,convert_extra,充电,,机器人连接充电座,充电中（连接充电）,"1.充电中满屏显示充电动画（绿圈内显示充电百分比进度，文案‘持续充电中’），百分比随时间递增
2.充电过程中不会存在掉电、电量长时间固定某一个值
3.充电电压与电量百分比对应"
